word,category
car,vehicles
cars,vehicles
vehicle,vehicles
vehicles,vehicles
van,vehicles
vans,vehicles
truck,vehicles
trucks,vehicles
lorry,vehicles
lorries,vehicles
bus,vehicles
buses,vehicles
fleet,vehicles
fleets,vehicles
suv,vehicles
suvs,vehicles
auto,vehicles
automotive,vehicles
automaker,vehicles
automakers,vehicles
carmaker,vehicles
carmakers,vehicles
oem,vehicles
oems,vehicles
bev,powertrain
bevs,powertrain
ev,powertrain
evs,powertrain
phev,powertrain
phevs,powertrain
hev,powertrain
hevs,powertrain
ice,powertrain
electric,powertrain
electrification,powertrain
electrified,powertrain
hybrid,powertrain
hybrids,powertrain
plug-in,powertrain
zero-emission,powertrain
drivetrain,powertrain
drivetrains,powertrain
powertrain,powertrain
powertrains,powertrain
engine,powertrain
engines,powertrain
motor,powertrain
motors,powertrain
battery,battery
batteries,battery
gigafactory,battery
gigafactories,battery
cell,battery
cells,battery
cathode,battery
cathodes,battery
anode,battery
anodes,battery
lithium,battery
nickel,battery
cobalt,battery
graphite,battery
lfp,battery
nmc,battery
gwh,battery
kwh,battery
midstream,battery
upstream,battery
downstream,battery
nameplate,battery
component,components
components,components
semiconductor,components
semiconductors,components
electronics,components
charger,components
chargers,components
charging,components
inverter,components
inverters,components
glider,components
gliders,components
co2,policy
emission,policy
emissions,policy
standard,policy
standards,policy
regulation,policy
regulations,policy
target,policy
targets,policy
policy,policy
policies,policy
directive,policy
directives,policy
mandate,policy
mandates,policy
commission,policy
parliament,policy
ets,policy
afir,policy
tariff,policy
tariffs,policy
credit,policy
credits,policy
scenario,policy
scenarios,policy
proposal,policy
proposals,policy
transport,t&e
environment,t&e
mobility,t&e
industry,economy
industries,economy
industrial,economy
manufacturer,economy
manufacturers,economy
manufacturing,economy
production,economy
produce,economy
produced,economy
producing,economy
assembly,economy
supply,economy
chain,economy
chains,economy
market,economy
markets,economy
investment,economy
investments,economy
investor,economy
investors,economy
jobs,economy
employment,economy
gva,economy
gdp,economy
revenue,economy
revenues,economy
capacity,economy
plant,economy
plants,economy
factory,economy
factories,economy
oil,energy
fuel,energy
fuels,energy
fossil,energy
petrol,energy
diesel,energy
biofuel,energy
biofuels,energy
hydrogen,energy
energy,energy
renewable,energy
renewables,energy
barrel,energy
barrels,energy
climate,climate
carbon,climate
decarbonisation,climate
decarbonization,climate
green,climate
clean,climate
cleantech,climate
transition,climate
net-zero,climate
eu,geography
europe,geography
european,geography
eu27,geography
china,geography
chinese,geography
germany,geography
german,geography
france,geography
french,geography
spain,geography
spanish,geography
italy,geography
italian,geography
poland,geography
polish,geography
hungary,geography
slovakia,geography
czechia,geography
netherlands,geography
norway,geography
